Level,NACE,Description,CPRS Main,CPRS2,CPRS Granular,Note on CPRS,IAM,NGFS3,NOTESOnMapping
3,F.42.2,Construction of utility projects,9-other,9-other,n.a.,,Investment|Energy Supply,Investment|Energy Supply,
4,F.42.21,Construction of utility projects for fluids,9-other,9-other,water services,,,,
4,F.42.22,Construction of utility projects for electricity and telecommunications,9-other,9-other,electricity|fossil,,Investment|Energy Supply|Electricity,Investment|Energy Supply|Electricity,
4,F.42.22,Construction of utility projects for electricity and telecommunications,9-other,9-other,electricity|renewable,,Investment|Energy Supply|Electricity,Investment|Energy Supply|Electricity,
3,F.42.9,Construction of other civil engineering projects,9-other,9-other,other,,,,
4,F.42.91,Construction of water projects,2-utility,2-utility|water&sewerage,waste services,,,,
4,F.42.99,Construction of other civil engineering projects n.e.c.,2-utility,2-utility|other,other,,Investment|Energy Supply,Investment|Energy Supply,
2,F.43,Specialised construction activities,9-other,9-other,other,,,,
3,F.43.1,Demolition and site preparation,9-other,9-other,other,,,,
4,F.43.12,Site preparation,9-other,9-other,other,,Investment|Energy Supply,Investment|Energy Supply,
4,F.43.13,Test drilling and boring,9-other,9-other,other,,Investment|Energy Supply,Investment|Energy Supply,
3,F.43.2,"Electrical, plumbing and other construction installation activities",4-buildings,4-buildings,buildings,,,,
4,F.43.21,Electrical installation,4-buildings,4-buildings,buildings,,,,
4,F.43.22,"Plumbing, heat and air-conditioning installation",4-buildings,4-buildings,buildings,,,,
4,F.43.29,Other construction installation,4-buildings,4-buildings,buildings,,,,
3,F.43.3,Building completion and finishing,4-buildings,4-buildings,buildings,,,,
4,F.43.31,Plastering,4-buildings,4-buildings,buildings,,,,
4,F.43.32,Joinery installation,4-buildings,4-buildings,buildings,,,,
4,F.43.33,Floor and wall covering,4-buildings,4-buildings,buildings,,,,
4,F.43.34,Painting and glazing,4-buildings,4-buildings,buildings,,,,
4,F.43.39,Other building completion and finishing,4-buildings,4-buildings,buildings,,,,
3,F.43.9,Other specialised construction activities,4-buildings,4-buildings,buildings,,,,
4,F.43.91,Roofing activities,4-buildings,4-buildings,buildings,,,,
4,F.43.99,Other specialised construction activities n.e.c.,4-buildings,4-buildings,buildings,,,,
1,G,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,5-transportation,5-transportation,transportation,,,,
2,G.45,Wholesale and retail trade and repair of motor vehicles and motorcycles,5-transportation,5-transportation|roads,transportation|vehicles,,,,
3,G.45.1,Sale of motor vehicles,5-transportation,5-transportation|roads,transportation|vehicles,,Final Energy|Transportation|Liquids,Energy Service|Transportation|Road,
4,G.45.11,Sale of cars and light motor vehicles,5-transportation,5-transportation|roads,transportation|road|vehicles|combustion,,Final Energy|Transportation|Liquids,Final Energy|Transportation|Passenger|Liquids,
4,G.45.11,Sale of cars and light motor vehicles,5-transportation,5-transportation|roads,transportation|road|vehicles|electric,,Final Energy|Transportation|Electricity,Final Energy|Transportation|Passenger|Electricity,
4,G.45.11,Sale of cars and light motor vehicles,5-transportation,5-transportation|roads,transportation|road|vehicles|hybrid,,Final Energy|Transportation|Electricity,Final Energy|Transportation|Passenger|Electricity,
4,G.45.11,Sale of cars and light motor vehicles,5-transportation,5-transportation|roads,transportation|road|vehicles|hydrogen,,Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Passenger|Hydrogen,
4,G.45.19,Sale of other motor vehicles,5-transportation,5-transportation|roads,transportation|vehicles,,Final Energy|Transportation|Liquids,Energy Service|Transportation|Road,
3,G.45.2,Maintenance and repair of motor vehicles,5-transportation,5-transportation|roads,transportation|vehicles,,Final Energy|Transportation|Liquids,Energy Service|Transportation|Road,
